date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:41:02	13502/13502	U-----	200	untouched ('OK')	text/html	etag:W/%225eee6be5-34be%22	https://blondon.github.io/tags/learning-theory/	C:/Users/User/Desktop/Website/website/blondon.github.io/tags/learning-theory/index.html	(from https://blondon.github.io/publication/london-jmlr-16/)
18:41:02	14218/14218	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%225eee6be5-378a%22	https://blondon.github.io/papers/london-thesis.pdf	C:/Users/User/Desktop/Website/website/blondon.github.io/papers/london-thesis.pdf	(from https://blondon.github.io/publication/)
18:41:02	13544/13544	U-----	200	untouched ('OK')	text/html	etag:W/%225eee6be5-34e8%22	https://blondon.github.io/tags/structured-prediction/	C:/Users/User/Desktop/Website/website/blondon.github.io/tags/structured-prediction/index.html	(from https://blondon.github.io/publication/london-jmlr-16/)
18:41:02	14218/14218	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%225eee6be5-378a%22	https://blondon.github.io/papers/london-book13.pdf	C:/Users/User/Desktop/Website/website/blondon.github.io/papers/london-book13.pdf	(from https://blondon.github.io/publication/)
18:41:03	13388/13388	U-----	200	untouched ('OK')	text/html	etag:%225eee6be5-344c%22	https://blondon.github.io/authors/sabina-tomkins/	C:/Users/User/Desktop/Website/website/blondon.github.io/authors/sabina-tomkins/index.html	(from https://blondon.github.io/publication/)
18:41:46	13354/13354	U-----	200	untouched ('OK')	text/html	etag:W/%225eee6be5-342a%22	https://blondon.github.io/authors/alexander-schwing/	C:/Users/User/Desktop/Website/website/blondon.github.io/authors/alexander-schwing/index.html	(from https://blondon.github.io/publication/)
18:41:46	13367/13367	U-----	200	untouched ('OK')	text/html	etag:W/%225eee6be5-3437%22	https://blondon.github.io/authors/steve-isley/	C:/Users/User/Desktop/Website/website/blondon.github.io/authors/steve-isley/index.html	(from https://blondon.github.io/publication/)
18:41:47	13598/13598	U-----	200	untouched ('OK')	text/html	etag:%225eee6be5-351e%22	https://blondon.github.io/authors/jay-pujara/	C:/Users/User/Desktop/Website/website/blondon.github.io/authors/jay-pujara/index.html	(from https://blondon.github.io/publication/)
18:41:47	13337/13337	U-----	200	untouched ('OK')	text/html	etag:W/%225eee6be5-3419%22	https://blondon.github.io/authors/william-cohen/	C:/Users/User/Desktop/Website/website/blondon.github.io/authors/william-cohen/index.html	(from https://blondon.github.io/publication/)
18:42:30	13512/13512	U-----	200	untouched ('OK')	text/html	etag:W/%225eee6be5-34c8%22	https://blondon.github.io/authors/galileo-mark-namata/	C:/Users/User/Desktop/Website/website/blondon.github.io/authors/galileo-mark-namata/index.html	(from https://blondon.github.io/publication/)
18:42:30	13794/13794	U-----	200	untouched ('OK')	text/html	etag:%225eee6be5-35e2%22	https://blondon.github.io/authors/benjamin-taskar/	C:/Users/User/Desktop/Website/website/blondon.github.io/authors/benjamin-taskar/index.html	(from https://blondon.github.io/publication/)
18:42:32	13561/13561	U-----	200	untouched ('OK')	text/html	etag:%225eee6be5-34f9%22	https://blondon.github.io/authors/theodoros-rekatsinas/	C:/Users/User/Desktop/Website/website/blondon.github.io/authors/theodoros-rekatsinas/index.html	(from https://blondon.github.io/publication/)
18:42:32	13346/13346	U-----	200	untouched ('OK')	text/html	etag:W/%225eee6be5-3422%22	https://blondon.github.io/authors/sameh-khamis/	C:/Users/User/Desktop/Website/website/blondon.github.io/authors/sameh-khamis/index.html	(from https://blondon.github.io/publication/)
18:42:32	1174/1174	---M-Z	200	added ('OK')	application/xml	etag:W/%225eee6be5-496%22	https://blondon.github.io/tags/pac-bayes/index.xml	C:/Users/User/Desktop/Website/website/blondon.github.io/tags/pac-bayes/index.xml	(from https://blondon.github.io/tags/pac-bayes/)
